Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Togo,TGO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,50000,,,120,,5000,,50,,,,,16000
Togo,TGO,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,27.86069679,,25.37313461,,15.92039776,23.38308525,21.63461494,21.63461494,20.67307663,25,25.48077011,27.01421738,27.96208572,27.69952965,24.88262939,26.7605629,30.54187202,30.54187202,34.48275757,33.99014664,30.58252335,30.91787529,32.85024261,31.884058,32.36714935
Togo,TGO,Voice and Accountability: Estimate,VA.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.986241639,,-1.124888897,,-1.125960112,,-1.383552551,-1.180868506,-1.231241107,-1.221733451,-1.19514668,-1.067694306,-0.988219559,-0.978557885,-0.952039063,-0.903721452,-0.995809436,-0.904471815,-0.766805112,-0.700742722,-0.545297205,-0.624594212,-0.758381546,-0.730480671,-0.751222908,-0.796347439,-0.762097478
Togo,TGO,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97773,255620,164313,858464,685093,939715,531884,1245120,289271,3202737,337519,198694,913793,1274941,
Togo,TGO,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,,6.432748538,4.419889503,3,2.973977695,3.888888889,5.015673981,2.088772846,3.601471569,2.938135916,2.969466602,3.165539196,4.298978046,2.495820778,6.008791803,6.709620084,4.794390108,11.04930285,12.1311552,24.91463125,15.90537158,21.3852359,24.68383684,8.998588727,5.45209651,6.75671845,9.193848004,9.198509354,12.1710674,14.38646086,15.01434145,22.44748043,25.69836368,19.87871749,16.5037546,16.38240989,17.29459376,17.52165771,24.66736448,41.02486063,62.88778114,60.31996184,56.97599814,62.43319942,69.8669654,60.90860838,53.80063501,74.71535252,74.57760944,26.49336256,70.77636261,64.9926144,67.14964169,63.00979951,62.04650388,71.16088879,68.6505011,69.90448499,68.22093429,67.86337662,,
Togo,TGO,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,,,,,,,1.666666667,1.253918495,,,,,,,,,,,,,,,,,0.545635526,0.645350199,1.46983785,2.051576244,2.197176356,3.245971608,7.424556562,2.694171304,0.430717603,0.860287877,0.837945308,3.570236542,1.084122231,2.198105384,1.765381892,5.464289274,5.546145121,1.950479037,3.323257486,4.467374206,6.110264477,7.255732806,5.175063057,9.779415957,4.536288408,13.40757355,4.073397744,6.35907963,1.393770264,6.972984974,12.62975702,9.142368535,7.981640977,8.694254748,8.355687546,12.73736664,12.32058868,,
Togo,TGO,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,,,0.584795322,,,,,,,,,,,0.006447661,0.234781775,,0.002897907,,1.005294608,0.443104536,0.008299739,0.006738544,0.410678778,0.616308755,1.363979332,0.764816116,,2.936677048,3.918105245,7.28191192,6.383401506,12.0898831,9.106259129,7.468779277,7.842476099,15.76626178,17.56044793,19.48379364,17.63203371,14.07674246,10.7136077,9.16123021,6.205729807,7.050561025,7.940003553,3.60384665,7.215741013,6.312357137,12.02503536,2.400830664,8.257937792,5.318116763,4.860106644,3.601040936,5.800851807,6.893826551,4.561796175,4.091422121,7.299623775,6.008360394,6.404438825,,
Togo,TGO,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,,,3.50877193,,,0.371747212,0.277777778,0.313479624,1.82767624,0.015059917,0.451602372,0.851223299,1.132113012,2.29053161,3.628736012,0.238475664,,0.006801518,0.595430634,0.67680946,2.02246858,0.38361571,2.732397867,3.932405733,3.445563862,3.223237293,1.553464112,0.297765394,2.061813124,1.679907619,2.663062428,1.358506392,1.485363453,1.604205408,1.114463091,0.909930316,1.416481421,0.917831981,0.878330079,1.468346251,0.991665897,1.156021019,1.290169681,1.159678303,1.591613838,2.73580409,0.616823274,2.259471877,1.766428921,0.441266697,1.586085381,2.188375375,1.735735757,1.758240482,2.969545377,4.917591128,3.691007008,4.681429095,2.107784756,1.065641197,2.082384842,,
Togo,TGO,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037345398,0.046974783,0.023083557,0.02180824,0.033110352,0.070510997,,0.090909191,0.142751529,0.183958982,0.258434312,0.09468297,0.050843566,0.052811952,0.366119888,0.130355111,0.411579147,0.112926715,0.057462724,0.082003851,0.056548728,0.069630219,
Togo,TGO,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,67.52356853,59.288987,54.89721019,52.70132178,55.44618229,53.79926598,61.48487541,65.87665222,70.26842904,69.71945694,76.85609426,71.91534534,76.30712216,52.15234968,52.70132178,62.03384751,59.8379591,58.1910428,63.68076382,62.03384751,54.89721019,31.85211862,32.00938281,34.77928551,45.59034641,38.73502218,77.11766799,86.84550574,114.9386155,104.0638302,115.51517,135.7594124,133.8091335,124.1294119,119.2271721,100,96.23259408,104.8833695,119.8361077,112.9148328,108.3646959,132.0846823,
Togo,TGO,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,20.67995597,18.44043887,22.55707763,18.36312602,17.18511145,14.44002674,15.32113494,15.78918802,14.08672423,20.01354159,19.11592319,17.5457673,16.92044665,16.13656685,18.39793092,19.65604178,18.39768143,21.86264134,26.45833333,17.76219318,16.30881455,12.49221774,1.562546504,2.838952306,2.193152087,2.002939638,1.6743816,3.715951245,3.414928982,3.514363528,3.55966668,3.105656126,2.048784061,5.508191758,5.31892972,12.54476686,11.62366618,12.29212806,7.671062788,9.60253411,9.599999958,10.02128031,9.625475389,9.031215438,9.007635961,9.586121551,5.24103086,,
Togo,TGO,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,23.58900823,18.58095217,16.8412679,12.08640795,11.6024221,12.34020383,13.35872906,18.14794829,20.88100954,20.2161877,24.90708458,19.0164409,16.90763013,7.687436312,9.511647806,25.40722108,28.44165581,27.62738465,25.15781549,25.54502346,24.06905262,23.67341126,25.30015563,33.17702303,37.67197452,45.38676682,46.43297749,52.9597755,64.61544161,64.57858301,72.03458317,93.6351482,101.9061586,118.3141443,108.144766,100,96.77027555,80.23556757,90.59176105,89.51083121,96.41198115,112.6715414,
Togo,TGO,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,,,9.963099631,10.80139373,7.99031477,6.681514477,8.280254777,9.799554566,6.493506494,6.362787284,7.051329863,6.205405108,5.265513829,5.293704008,6.12836787,4.946002829,3.725725478,2.924168261,14.12884006,14.61718415,19.50755787,6.5206204,9.58404929,6.517742984,10.0763674,9.560607703,4.866209295,10.85888746,9.378648386,11.57611875,16.3255577,14.51930482,17.72479693,27.41538249,29.39630991,20.09448991,21.88799188,23.87370006,18.75777493,21.36267343,22.21734121,16.92025707,17.05500454,19.4835194,18.04446466,16.89536462,16.39184317,14.26218267,19.23311374,14.16648341,13.84490994,12.02530816,12.01897453,12.85983543,12.78248194,14.81015784,11.88688638,15.58461709,19.32057903,12.22950374,12.2365529,,
